City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
282,Tiznit,29.5833,-9.5,56.64,84,28,3.4,MA,scattered clouds
283,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
284,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
285,Salinopolis,-0.6136,-47.3561,79.99,86,100,11.79,BR,overcast clouds
286,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
287,Upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,clear sky
288,Hambantota,6.1241,81.1185,77.27,81,95,11.05,LK,overcast clouds
289,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
290,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
291,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
292,Manavalakurichi,8.1333,77.3,82.4,74,20,6.44,IN,mist
293,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
294,Iqaluit,63.7506,-68.5145,-9.0,77,20,18.41,CA,snow
295,Jijiga,9.35,42.8,59.61,45,0,8.34,ET,clear sky
296,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
297,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
298,Hermanus,-34.4187,19.2345,66.99,83,2,1.99,ZA,clear sky
299,Jurado,7.1053,-77.7641,82.62,69,94,3.91,CO,overcast clouds
300,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
301,Tasiilaq,65.6145,-37.6368,19.4,38,75,18.41,GL,broken clouds
302,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
303,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
304,Carnarvon,-24.8667,113.6333,80.6,94,17,6.91,AU,few clouds
305,Kruisfontein,-34.0033,24.7314,64.99,80,1,1.7,ZA,clear sky
306,Berlevag,70.8578,29.0864,25.05,96,100,22.66,NO,light snow
307,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
308,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
309,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
310,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
311,Saldanha,-33.0117,17.9442,64.94,90,0,8.97,ZA,clear sky
312,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
313,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
314,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
315,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
316,Port-Gentil,-0.7193,8.7815,82.4,78,20,4.61,GA,light rain
317,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
318,Copiapo,-27.3667,-70.3333,69.8,64,75,11.5,CL,broken clouds
319,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
320,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
321,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
322,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
323,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
324,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
325,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
326,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
327,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
328,Upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,clear sky
329,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
330,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
331,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
332,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
333,Suluq,31.6682,20.2521,58.96,86,0,5.95,LY,clear sky
334,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
335,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
336,Saint-Philippe,-21.3585,55.7679,78.8,65,0,3.44,RE,clear sky
337,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
338,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
339,Hermanus,-34.4187,19.2345,66.99,83,2,1.99,ZA,clear sky
340,Shache,38.4167,77.2406,20.98,87,0,0.78,CN,clear sky
341,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
342,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
343,Brae,60.3964,-1.353,37.4,75,40,9.22,GB,scattered clouds
344,Hithadhoo,-0.6,73.0833,82.31,77,45,15.43,MV,scattered clouds
